nombre,cod_prov,cod_depto,cod_loc,cod_bahra,tipo_bahra,lat,lon
LOS CARDALES,06,266,040,06266040000,LC,-34.3300736993853,-58.9885651588167
PARADA ORLANDO,06,266,050,06266050000,LS,-34.3273003551547,-59.0759905460338
EL REMANSO,06,266,060,06266060001,E,-34.4149477393736,-59.086281182388
PARADA ROBLES,06,266,060,06266060002,E,-34.3736266959435,-59.139354021597
PAVON,06,266,060,06266060003,E,-34.3581118951493,-59.0310010709452
AEROPUERTO INTERNACIONAL EZEIZA,06,270,010,06270010001,E,-34.8128216283518,-58.5521650062885
CANNING,06,270,010,06270010002,E,-34.8962283957338,-58.5087006002723
CARLOS SPEGAZZINI,06,270,010,06270010003,E,-34.9338489869515,-58.5780017334776
JOSE MARIA EZEIZA,06,270,010,06270010004,E,-34.8536100103068,-58.5195521653909
LA UNION,06,270,010,06270010005,E,-34.8503859677023,-58.5558695462288
TRISTAN SUAREZ,06,270,010,06270010006,E,-34.8851527149847,-58.5700335845498
BOSQUES,06,274,010,06274010001,E,-34.827580702831,-58.2229120039487
ESTANISLAO SEVERO ZEBALLOS,06,274,010,06274010002,E,-34.812285887223,-58.2426532633495
FLORENCIO VARELA,06,274,010,06274010003,E,-34.7960544308506,-58.2748588953342
GOBERNADOR JULIO A. COSTA,06,274,010,06274010004,E,-34.8152397261388,-58.3082334245906
INGENIERO JUAN ALLAN,06,274,010,06274010005,E,-34.8648075260046,-58.2110437322304
VILLA BROWN,06,274,010,06274010006,E,-34.8790424725562,-58.2898092496787
VILLA SAN LUIS,06,274,010,06274010007,E,-34.8627929258513,-58.2553232274346
VILLA SANTA ROSA,06,274,010,06274010008,E,-34.8380276482598,-58.2888899071764
VILLA VATTEONE,06,274,010,06274010009,E,-34.8303193176345,-58.2635239901185
EL TROPEZON,06,274,010,06274010010,E,-34.9564048574127,-58.2787454299742
LA CAPILLA,06,274,010,06274010011,E,-34.9437330109546,-58.2632550914348
BLAQUIER,06,277,010,06277010000,LS,-34.6356616332748,-62.4786821321875
FLORENTINO AMEGHINO,06,277,020,06277020000,LS,-34.846677699169,-62.4671575805384
PORVENIR,06,277,030,06277030000,LS,-34.9522292183733,-62.2174229886622
CENTINELA DEL MAR,06,280,005,06280005000,LS,-38.4348806367321,-58.216863731472
COMANDANTE NICANOR OTAMENDI,06,280,010,06280010000,LS,-38.1119335118514,-57.8415353121543
MAR DEL SUR,06,280,020,06280020000,LS,-38.3446881533109,-57.9920393065731
MECHONGUE,06,280,030,06280030000,LS,-38.1486545138318,-58.2230121065801
MIRAMAR,06,280,040,06280040000,LC,-38.2707429318083,-57.8404714577536
GENERAL ALVEAR,06,287,010,06287010000,LS,-36.0229384341367,-60.0147935726886
ARRIBEÑOS,06,294,010,06294010000,LS,-34.2101542565966,-61.3548577979495
ASCENSION,06,294,020,06294020000,LS,-34.2368758979793,-61.103613881133
ESTACION ARENALES,06,294,030,06294030000,LS,-34.2698455922697,-61.2926718130401
FERRE,06,294,040,06294040000,LS,-34.1250383813873,-61.132654886464
